model_rank,report_id,published_at,source,title,report_text,text_clean,seen_in_training,relevance_probability,predicted_relevant
1,TRN03008,2026-01-04,Open-source Research,Vendor access abused in OT intrusion,"Copper Dune is targeting critical infrastructure operators in Southern Africa using GridLock. Analysts observed DNS tunnelling, unusual vendor access and attempts to reach operational technology networks. Indicators include node-3008-sync.example and 198.51.100.149.","copper dune is targeting critical infrastructure operators in southern africa using gridlock. analysts observed dns tunnelling, unusual vendor access and attempts to reach operational technology networks. indicators include node-3008-sync.example and 198.51.100.149.",False,0.9853164385353278,1
2,TRN03133,2026-08-03,Open-source Research,Industrial protocol reconnaissance observed,"Night Heron is targeting critical infrastructure operators in Southern Africa using unknown PowerShell loader. Analysts observed DNS tunnelling, unusual vendor access and attempts to reach operational technology networks. Indicators include node-3133-sync.example and 198.51.100.54.","night heron is targeting critical infrastructure operators in southern africa using unknown powershell loader. analysts observed dns tunnelling, unusual vendor access and attempts to reach operational technology networks. indicators include node-3133-sync.example and 198.51.100.54.",False,0.9838361602854229,1
3,TRN03096,2025-06-30,Open-source Research,Vendor access abused in OT intrusion,"Kalahari Jackal is targeting critical infrastructure operators in Southern Africa using unknown PowerShell loader. Analysts observed vendor compromise, unusual vendor access and attempts to reach operational technology networks. Indicators include node-3096-sync.example and 198.51.100.17.","kalahari jackal is targeting critical infrastructure operators in southern africa using unknown powershell loader. analysts observed vendor compromise, unusual vendor access and attempts to reach operational technology networks. indicators include node-3096-sync.example and 198.51.100.17.",False,0.9800635523869363,1
4,TRN03084,2025-06-22,Open-source Research,Campaign targets industrial operators,"Night Heron is targeting energy utilities in East Africa using GridLock. Analysts observed Modbus scanning, unusual vendor access and attempts to reach operational technology networks. Indicators include node-3084-sync.example and 198.51.100.5.","night heron is targeting energy utilities in east africa using gridlock. analysts observed modbus scanning, unusual vendor access and attempts to reach operational technology networks. indicators include node-3084-sync.example and 198.51.100.5.",False,0.9777757249213651,1
5,TRN03056,2025-11-28,Open-source Research,Industrial protocol reconnaissance observed,"Copper Dune is targeting power distributors in Southern Africa using unknown PowerShell loader. Analysts observed ransomware deployment, unusual vendor access and attempts to reach operational technology networks. Indicators include node-3056-sync.example and 198.51.100.197. The bulletin references security monitoring, risk assessment and operational resilience.","copper dune is targeting power distributors in southern africa using unknown powershell loader. analysts observed ransomware deployment, unusual vendor access and attempts to reach operational technology networks. indicators include node-3056-sync.example and 198.51.100.197. the bulletin references security monitoring, risk assessment and operational resilience.",False,0.9757016839166596,1
6,TRN03089,2025-12-15,Regional ISAC,Campaign targets industrial operators,"Unknown actor is targeting energy utilities in East Africa using Sandstorm Loader. Analysts observed ransomware deployment, unusual vendor access and attempts to reach operational technology networks. Indicators include node-3089-sync.example and 198.51.100.10.","unknown actor is targeting energy utilities in east africa using sandstorm loader. analysts observed ransomware deployment, unusual vendor access and attempts to reach operational technology networks. indicators include node-3089-sync.example and 198.51.100.10.",False,0.9730181224262672,1
7,TRN03139,2026-03-24,Open-source Research,Industrial protocol reconnaissance observed,"Night Heron is targeting critical infrastructure operators in East Africa using DustRAT. Analysts observed Modbus scanning, unusual vendor access and attempts to reach operational technology networks. Indicators include node-3139-sync.example and 198.51.100.60.","night heron is targeting critical infrastructure operators in east africa using dustrat. analysts observed modbus scanning, unusual vendor access and attempts to reach operational technology networks. indicators include node-3139-sync.example and 198.51.100.60.",False,0.9727148059195144,1
8,TRN03037,2025-11-27,Commercial Intelligence,Energy-sector malware activity,"Copper Dune is targeting energy utilities in East Africa using DustRAT. Analysts observed vendor compromise, unusual vendor access and attempts to reach operational technology networks. Indicators include node-3037-sync.example and 198.51.100.178.","copper dune is targeting energy utilities in east africa using dustrat. analysts observed vendor compromise, unusual vendor access and attempts to reach operational technology networks. indicators include node-3037-sync.example and 198.51.100.178.",False,0.9718253380366035,1
9,TRN03159,2025-11-13,Commercial Intelligence,Industrial protocol reconnaissance observed,"Incident responders identified Modbus scanning against an electricity operator. The actor Night Heron moved from a vendor workstation to an OT jump server and queried PLC services. Monitor node-3159-sync.example, 198.51.100.80 and hash 6ea2fc2819ccf4e67e27.","incident responders identified modbus scanning against an electricity operator. the actor night heron moved from a vendor workstation to an ot jump server and queried plc services. monitor node-3159-sync.example, 198.51.100.80 and hash 6ea2fc2819ccf4e67e27.",False,0.9717086765581839,1
10,TRN03092,2026-04-25,Vendor Advisory,Campaign targets industrial operators,"A campaign affecting power distributors uses compromised maintenance accounts, PowerShell and unknown PowerShell loader. Activity includes vendor compromise, historian discovery and scanning of industrial protocols. The infrastructure node-3092-sync.example resolves to 198.51.100.13.","a campaign affecting power distributors uses compromised maintenance accounts, powershell and unknown powershell loader. activity includes vendor compromise, historian discovery and scanning of industrial protocols. the infrastructure node-3092-sync.example resolves to 198.51.100.13.",False,0.9709823937626423,1
