report_id,entity_type,entity_value,analytical_relevance,ioc_id,confidence,context,first_seen,published_at,report_age_days,indicator_age_days,report_predates_first_seen,internal_event_ids,internal_actions,internal_event_count
TRN03002,domain,node-3002-sync.example,No exact match in the supplied feed; this does not establish whether the entity is benign.,,,,,2025-11-20,333,,False,,,0
TRN03002,hash_fragment,048f1289eed704238635,Incomplete hash; cannot establish a full-hash match.,,,,,2025-11-20,333,,False,,,0
TRN03002,ipv4,198.51.100.143,No exact match in the supplied feed; this does not establish whether the entity is benign.,,,,,2025-11-20,333,,False,,,0
TRN03002,threat_actor,Kalahari Jackal,Named entity mentioned in a report; not proof of attribution or infection.,,,,,2025-11-20,333,,False,,,0
TRN03003,domain,node-3003-sync.example,No exact match in the supplied feed; this does not establish whether the entity is benign.,,,,,2026-05-20,152,,False,,,0
TRN03003,ipv4,198.51.100.144,No exact match in the supplied feed; this does not establish whether the entity is benign.,,,,,2026-05-20,152,,False,,,0
TRN03003,malware,DustRAT,Named entity mentioned in a report; not proof of attribution or infection.,,,,,2026-05-20,152,,False,,,0
TRN03003,threat_actor,Kalahari Jackal,Named entity mentioned in a report; not proof of attribution or infection.,,,,,2026-05-20,152,,False,,,0
TRN03004,domain,node-3004-sync.example,No exact match in the supplied feed; this does not establish whether the entity is benign.,,,,,2025-06-20,486,,False,,,0
TRN03004,ipv4,198.51.100.145,No exact match in the supplied feed; this does not establish whether the entity is benign.,,,,,2025-06-20,486,,False,,,0
TRN03004,malware,BreakerFox,Named entity mentioned in a report; not proof of attribution or infection.,,,,,2025-06-20,486,,False,,,0
TRN03005,domain,node-3005-sync.example,No exact match in the supplied feed; this does not establish whether the entity is benign.,,,,,2025-05-17,520,,False,,,0
TRN03005,ipv4,198.51.100.146,No exact match in the supplied feed; this does not establish whether the entity is benign.,,,,,2025-05-17,520,,False,,,0
TRN03005,malware,GridLock,Named entity mentioned in a report; not proof of attribution or infection.,,,,,2025-05-17,520,,False,,,0
TRN03007,domain,node-3007-sync.example,No exact match in the supplied feed; this does not establish whether the entity is benign.,,,,,2025-07-22,454,,False,,,0
TRN03007,ipv4,198.51.100.148,No exact match in the supplied feed; this does not establish whether the entity is benign.,,,,,2025-07-22,454,,False,,,0
TRN03007,malware,BreakerFox,Named entity mentioned in a report; not proof of attribution or infection.,,,,,2025-07-22,454,,False,,,0
TRN03007,threat_actor,Kalahari Jackal,Named entity mentioned in a report; not proof of attribution or infection.,,,,,2025-07-22,454,,False,,,0
TRN03008,domain,node-3008-sync.example,No exact match in the supplied feed; this does not establish whether the entity is benign.,,,,,2026-01-04,288,,False,,,0
TRN03008,ipv4,198.51.100.149,No exact match in the supplied feed; this does not establish whether the entity is benign.,,,,,2026-01-04,288,,False,,,0
TRN03008,malware,GridLock,Named entity mentioned in a report; not proof of attribution or infection.,,,,,2026-01-04,288,,False,,,0
TRN03008,threat_actor,Copper Dune,Named entity mentioned in a report; not proof of attribution or infection.,,,,,2026-01-04,288,,False,,,0
TRN03010,domain,node-3010-sync.example,No exact match in the supplied feed; this does not establish whether the entity is benign.,,,,,2025-04-18,549,,False,,,0
TRN03010,hash_fragment,ac19d28a5c8f0bc1d3db,Incomplete hash; cannot establish a full-hash match.,,,,,2025-04-18,549,,False,,,0
TRN03010,ipv4,198.51.100.151,No exact match in the supplied feed; this does not establish whether the entity is benign.,,,,,2025-04-18,549,,False,,,0
TRN03010,threat_actor,Red Kudu,Named entity mentioned in a report; not proof of attribution or infection.,,,,,2025-04-18,549,,False,,,0
TRN03013,domain,node-3013-sync.example,No exact match in the supplied feed; this does not establish whether the entity is benign.,,,,,2025-04-19,548,,False,,,0
TRN03013,ipv4,198.51.100.154,No exact match in the supplied feed; this does not establish whether the entity is benign.,,,,,2025-04-19,548,,False,,,0
